label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
open_palm,0.0,0.0,0.0,0.13531746,-0.09774224,-0.055697452,0.2422606,-0.27171248,-0.07269151,0.30057207,-0.42339158,-0.08688618,0.3570784,-0.532001,-0.10113699,0.1306925,-0.49777853,-0.02797405,0.17722175,-0.6798242,-0.06621346,0.20422912,-0.79701805,-0.10009695,0.22791405,-0.89880705,-0.12565835,0.043172378,-0.5155118,-0.03300333,0.0674003,-0.7282472,-0.06833622,0.08520252,-0.8717384,-0.10362779,0.09983316,-0.99500287,-0.12973985,-0.04036726,-0.48646012,-0.0477775,-0.048714615,-0.6928527,-0.089887545,-0.04797341,-0.8312782,-0.12587565,-0.040448733,-0.95635194,-0.15045063,-0.12533094,-0.41829604,-0.06789453,-0.1638205,-0.5645272,-0.11281796,-0.18152542,-0.6719682,-0.13877973,-0.18792021,-0.783417,-0.1556059
open_palm,0.0,0.0,0.0,0.13017581,-0.10005829,-0.058880936,0.22631845,-0.28381532,-0.07704769,0.27375817,-0.44265524,-0.09161892,0.32271805,-0.55593705,-0.106504135,0.10452188,-0.5012996,-0.0350558,0.14515217,-0.6847122,-0.0767299,0.1702565,-0.80364823,-0.11251516,0.19305722,-0.9073438,-0.13932875,0.018088143,-0.51349604,-0.03935334,0.03412533,-0.7287459,-0.07834321,0.048101474,-0.873135,-0.11446511,0.060151946,-0.9981879,-0.14117782,-0.06285973,-0.4783642,-0.053494886,-0.07532864,-0.6891112,-0.09923769,-0.07552757,-0.82755315,-0.13503224,-0.06947875,-0.9526465,-0.1590632,-0.14340481,-0.40410522,-0.073159724,-0.18224275,-0.5541919,-0.121805556,-0.20050046,-0.664586,-0.14925744,-0.20979267,-0.7787907,-0.16692236
open_palm,0.0,0.0,0.0,0.14700235,-0.09187007,-0.05327208,0.25008255,-0.26353627,-0.06460694,0.30391425,-0.4173053,-0.073757686,0.35362965,-0.5262751,-0.08230385,0.13890919,-0.49984196,-0.009220711,0.18629542,-0.6785414,-0.040084224,0.21452741,-0.7903031,-0.071455166,0.23918948,-0.88723004,-0.09572463,0.053493276,-0.5245688,-0.011669665,0.07711455,-0.7316345,-0.040765654,0.09751789,-0.8728183,-0.07452994,0.1145683,-0.9934139,-0.09981396,-0.028399758,-0.5051331,-0.024901861,-0.030104015,-0.71037483,-0.06199072,-0.021790208,-0.84796077,-0.097153515,-0.008515597,-0.9705416,-0.120931804,-0.111448884,-0.45078343,-0.043794766,-0.1388221,-0.6082679,-0.085254215,-0.14976728,-0.72178954,-0.11148007,-0.15109505,-0.83739614,-0.12846878
open_palm,0.0,0.0,0.0,0.12793168,-0.08631152,-0.032903757,0.22007112,-0.26898596,-0.03875809,0.28106108,-0.40878746,-0.04669434,0.33807757,-0.50194204,-0.054937113,0.12006547,-0.50899637,0.002982166,0.17043498,-0.67710716,-0.027516754,0.20730983,-0.78265464,-0.059625044,0.24101542,-0.8733143,-0.08464844,0.044958506,-0.5371941,-0.010526484,0.07609636,-0.7361876,-0.037989795,0.10653716,-0.87230074,-0.0691061,0.13196632,-0.9912527,-0.09263621,-0.026707713,-0.5191572,-0.033124175,-0.02205919,-0.72566795,-0.06641841,-0.0038242086,-0.8639738,-0.09570775,0.018035846,-0.98874474,-0.116633505,-0.099876806,-0.46373603,-0.060099155,-0.121801116,-0.61741626,-0.096071415,-0.123814255,-0.7335967,-0.11603767,-0.11542239,-0.84962004,-0.12977512
open_palm,0.0,0.0,0.0,0.15754919,-0.094548896,-0.06404515,0.27478132,-0.26721162,-0.08019301,0.3328264,-0.43044758,-0.0925548,0.38793236,-0.5571113,-0.10296502,0.15601835,-0.4951834,-0.010511282,0.21038727,-0.67344517,-0.04724092,0.24840422,-0.7817797,-0.0830532,0.2863935,-0.87509817,-0.108817786,0.06608982,-0.52603513,-0.0079434095,0.09193885,-0.7344066,-0.039321415,0.1219901,-0.87139887,-0.074356996,0.15438746,-0.9880089,-0.10013679,-0.021719025,-0.51284504,-0.017981183,-0.027546898,-0.7098135,-0.056226008,-0.010354749,-0.83839226,-0.08744249,0.018728686,-0.95124817,-0.1076716,-0.11221101,-0.4658919,-0.03502216,-0.1394804,-0.62061876,-0.07298391,-0.14184617,-0.7271535,-0.093113564,-0.12934527,-0.83345526,-0.10559636
open_palm,0.0,0.0,0.0,0.15095155,-0.11234063,-0.054092757,0.26017147,-0.29556495,-0.060601465,0.3144137,-0.46073604,-0.0653684,0.35561636,-0.5849736,-0.06819991,0.1451195,-0.5086587,0.015151856,0.19272572,-0.6899578,-0.008161141,0.22270064,-0.79907084,-0.03800608,0.25243273,-0.8960194,-0.06138259,0.057004254,-0.52746177,0.01605447,0.07836666,-0.73289984,-0.0034228107,0.09899321,-0.87326795,-0.037046347,0.1197209,-0.99280614,-0.06364084,-0.028317517,-0.5029332,0.00450583,-0.038003616,-0.69280666,-0.023946695,-0.030460183,-0.82254446,-0.05820892,-0.014497192,-0.9380648,-0.08272257,-0.11552661,-0.44420534,-0.013641125,-0.1452187,-0.58930564,-0.046265844,-0.15591033,-0.6933665,-0.068869635,-0.15403786,-0.80014396,-0.08466029
open_palm,0.0,0.0,0.0,0.14970277,-0.098032065,-0.053402763,0.2591563,-0.2802554,-0.062972784,0.31699437,-0.44385478,-0.06989822,0.36196268,-0.5629636,-0.07565938,0.13542745,-0.4990559,-0.008379868,0.18443619,-0.6820062,-0.040339503,0.21998878,-0.79288,-0.07210078,0.25537124,-0.88756835,-0.09499474,0.045528833,-0.5236009,-0.008768458,0.06864514,-0.73355544,-0.03661317,0.09587814,-0.8736758,-0.06858322,0.124213584,-0.992254,-0.092217974,-0.039563395,-0.5058319,-0.020042326,-0.045798406,-0.712429,-0.054068416,-0.030836927,-0.84616256,-0.083974205,-0.0057479623,-0.96027666,-0.10365904,-0.12674099,-0.45453593,-0.037436042,-0.15752177,-0.6178392,-0.072476484,-0.16311678,-0.7327318,-0.092415415,-0.1535484,-0.8455782,-0.104976416
open_palm,0.0,0.0,0.0,0.14334413,-0.10174492,-0.049360633,0.24029498,-0.28445613,-0.057566322,0.29245272,-0.43945262,-0.06467059,0.33298948,-0.55286133,-0.070275016,0.12074382,-0.50539804,0.0023386935,0.16737857,-0.68133986,-0.0323749,0.20847844,-0.78865564,-0.06757311,0.24994376,-0.87937737,-0.092077225,0.03648546,-0.5321504,-0.0008225545,0.062091228,-0.7380076,-0.030715512,0.09631862,-0.87545824,-0.0642254,0.13222298,-0.99121845,-0.08765386,-0.04337809,-0.51623183,-0.015577815,-0.045959454,-0.7178716,-0.05123223,-0.023286467,-0.85283583,-0.08184198,0.009364997,-0.9682005,-0.10086674,-0.12611212,-0.4680978,-0.036406584,-0.14755312,-0.6308227,-0.071295984,-0.14617914,-0.74890816,-0.09095692,-0.1302949,-0.864913,-0.10299636
open_palm,0.0,0.0,0.0,0.14288105,-0.1094861,-0.05153301,0.24347834,-0.29639232,-0.062123727,0.29359895,-0.45928708,-0.070799954,0.33168328,-0.5812293,-0.07863678,0.11415742,-0.5104885,-0.00842064,0.15621945,-0.69103974,-0.043680392,0.18873605,-0.80146956,-0.07806225,0.22275238,-0.8962038,-0.10286301,0.025716469,-0.52822,-0.011487547,0.0400148,-0.7362762,-0.042453982,0.06361905,-0.8759123,-0.07663169,0.08971333,-0.99596614,-0.10197966,-0.056879457,-0.5020695,-0.025515322,-0.06988934,-0.70064586,-0.0630006,-0.056687463,-0.8335628,-0.09517092,-0.03316903,-0.9509486,-0.11642416,-0.14051332,-0.44173604,-0.045437,-0.17552744,-0.5969303,-0.084149115,-0.18521227,-0.709775,-0.106681824,-0.18052146,-0.8247369,-0.12117134
open_palm,0.0,0.0,0.0,0.13853282,-0.103659116,-0.053618345,0.23819183,-0.28029242,-0.06753591,0.29689938,-0.4355593,-0.079751775,0.33705038,-0.5563357,-0.090052195,0.11220668,-0.5004887,-0.009191358,0.15961027,-0.682063,-0.049845837,0.20350489,-0.79148394,-0.08779155,0.24960804,-0.88182354,-0.11304497,0.026876815,-0.52712375,-0.011492973,0.04509391,-0.73829466,-0.044508573,0.076659605,-0.876402,-0.07746887,0.11189146,-0.9937189,-0.10035828,-0.052509226,-0.51012015,-0.025464231,-0.061850134,-0.71119845,-0.062483888,-0.043015003,-0.84510547,-0.09014132,-0.012161629,-0.9616228,-0.10695027,-0.13213515,-0.4597707,-0.04602547,-0.16063738,-0.6186738,-0.08069986,-0.16573773,-0.7337252,-0.097534575,-0.15710373,-0.8458939,-0.1071459
